title,totalScore,reviewsCount,street,city,countryCode,website,phone,categoryName
Coco Cafe- Street Star,4.6,11,"VVQ5+326, Elfindale Ave",Colombo,LK,https://www.facebook.com/cococafe.lk?mibextid=LQQJ4d,+94 76 777 2225,Cafe
Cafe Celo09,4.258885017421602,0,VVRC+8M5,Colombo,LK,,,Coffee shop
Cafe 1959 by Raux Brothers,4.4,248,746 Galle Rd,Colombo,LK,https://cafe-1959-by-raux-brothers.business.site/?utm_source=gmb&utm_medium=referral,+94 112 590 520,Coffee shop
Cafe Lab,2.8,8,,Colombo,LK,,+94 78 810 0800,Coffee shop
The Nook Cakery and Cafe,4.9,34,29 Visakha Private Rd,Colombo,LK,,,Coffee shop
De Vos Cafe,4.4,95,34 De Vos Ave,Colombo,LK,,+94 112 550 033,Cafe
Cafe tasty,3.7,30,60 Vajira Rd,Colombo,LK,,+94 117 642 752,Cafe
BOO Cafe,4.4,42,No. 237 Galle Rd,Colombo,LK,,+94 76 187 2879,Restaurant
BK Cafe - Havelock City Mall,4.258885017421602,0,"Havelock City, Havelock Rd",Colombo,LK,,,Cafe
Cafe at Lanka Hospitals,3.5,10,578 Elvitigala Mawatha,Colombo,LK,,,Cafe
Coffee Bae - The Cafe,4.7,15,"61A, Ramakrishna Road, Marine Dr",Colombo,LK,https://www.thebubbleshot.co/,+94 77 755 5696,Coffee shop
Rabbit Mood Cafe,4.258885017421602,0,"00300, Liberty Arcade, Level 1 Shop No 5, 282 R. A. De Mel Mawatha",Colombo,LK,https://www.facebook.com/Rabbitmoodcafe,+94 76 842 8595,Coffee shop
Wood Cafe,4.258885017421602,0,"237wardplace colombo,07",Colombo,LK,,+94 70 209 6993,Cafe
Cafe 111 by tea,5.0,1,12b Perahera Mawatha,Colombo,LK,,,Coffee shop
Tokiwa Cafe,4.258885017421602,0,213 Galle Rd,Colombo,LK,,,Cafe
CAFE COLOMBO,4.8,1010,,Colombo,LK,,+94 71 111 9911,Cafe
Cafe Kai,4.4,218,Sir Chittampalam A Gardiner Mawath,Colombo,LK,https://shop.hiltoncolombo1.com/Food-and-Beverage,+94 112 492 492,Cafe
Techno Cafe,4.3,10,475 Union Pl,Colombo,LK,,,Cafe
Cafe by Raffles,4.1,21,No. 42 Nawam Mawatha,Colombo,LK,https://www.rafflescolombo.com/cafe-by-raffles-industrial/,+94 113 602 601,Cafe
Lake View Cafe,3.3,4,"WV92+C7H, DHPL, Nawam Mawatha",Colombo,LK,,,Cafe
Office Cafe,5.0,1,213 Galle Rd,Colombo,LK,,+94 77 999 9177,Cafe
Cafe EN -縁-,5.0,5,"1st Floor - 282/5, Kollupitiya Road, Marine Drive",Colombo,LK,https://granbellhotel.lk/dining/cafe/,+94 112 397 397,Cafe
The Verandah Cafe,5.0,1,115 Rosmead Pl,Colombo,LK,,+94 112 686 883,Cafe
Aará Garden Cafe,5.0,1,10 Ananda Coomaraswamy Mawatha,Colombo,LK,,+94 77 315 2724,Coffee shop
Anthony's Cafe,4.6,28,"8, 8 Cameron Pl",Colombo,LK,,+94 75 707 5597,Cafe
The Stage Cafe Cake Bar Colombo 07,5.0,4,20D Guildford Cres,Colombo,LK,,+94 114 383 865,Coffee shop
Tito's Cafe,4.4,44,137 Sir James Pieris Mawatha,Colombo,LK,https://www.marriott.com/en-us/hotels/cmbcy-courtyard-colombo/dining/,,Coffee shop
Chenitha Cafe,4.258885017421602,0,colombo 3,Colombo,LK,,+94 78 959 5656,Cafe
Sun Rise Cafe,3.7,6,WV33+W6R,Colombo,LK,,,Cafe
Cafe Cotta,4.0,20,Dr NM Perera Mawatha Rd,Colombo,LK,https://cafe-cotta.business.site/?utm_source=gmb&utm_medium=referral,+94 77 548 0568,Cafe
Baguette French Bakery & Cafe,4.5,270,31 Queen's Rd,Colombo,LK,http://baguette.lk/,+94 77 730 2922,Cafe
ZOYO Cafe,4.8,20,89 Elvitigala Mawatha,Colombo,LK,,+94 76 787 5555,Cafe
Cinnamon cafe,4.8,5,WV5F+G97,Colombo,LK,,,Cafe
Monkeybean Cafe,4.2,329,16 Sellamuttu Ave,Colombo,LK,https://www.facebook.com/monkeybeanlk/,+94 76 413 0060,Coffee shop
Peppermint Cafe,4.1,1641,76 Wijerama Mawatha,Colombo,LK,http://www.peppermintcafe.lk/,+94 75 632 0420,Coffee shop
Cafe Shaze,4.1,487,56 Horton Pl,Colombo,LK,,+94 76 776 6765,Cafe
Tasty Cafe,3.5,4,"Tasty Caterers, 18/A Evergreen Park Rd",Colombo,LK,,+94 117 644 701,Cafe
Seed Cafe,4.6,850,60 Horton Pl,Colombo,LK,https://www.instagram.com/seedcafesl/?hl=en,+94 117 773 470,Cafe
THE CAKE BOUTIQUE,4.8,40,"31A, 06 Stratford Ave",Colombo,LK,https://instagram.com/cakeboutique_radhi?igshid=YmMyMTA2M2Y=,+94 70 222 4640,Cafe
Peace cafe,4.258885017421602,0,"57/6, 5 Polhengoda Rd",Colombo,LK,,+94 77 946 5908,Cafe
Noble Cafe,5.0,3,23 Ramakrishna Rd,Colombo,LK,,,Cafe
Cafe Rafaella,4.6,65,145 Thimbirigasyaya Rd,Colombo,LK,https://www.facebook.com/caferafaella/,+94 77 033 5366,Cafe
A Healing Café - Hotel MaRadha,4.6,38,"31, St. Kilda's Lane, Marine Drive",Colombo,LK,https://maradha.lk/healing_cafe/,+94 112 550 136,Cafe
The Wild Monkey,4.0,4,Independence Ave,Colombo,LK,http://www.thewildmonket.lk/,+94 74 418 8764,Coffee shop
The German Bakery,4.5,340,461 Thimbirigasyaya Rd,Colombo,LK,http://www.germanbakery.lk/,+94 77 288 5461,Cafe
Cafe 97,4.4,208,97 Fife Rd,Colombo,LK,http://www.tastycaterers.lk/,+94 117 642 742,Cafe
Cafe nine,4.258885017421602,0,20a Joseph Fraser Rd,Colombo,LK,,,Cafe
Ella Bakers Cafe,5.0,2,VVHG+86G,Colombo,LK,,+94 71 212 2228,Cafe
Walking Path Cafe,3.0,2,"WV38+363, Independence Walk",Colombo,LK,,+94 112 330 550,Restaurant
Cafe 4 U Wellawatta,3.8,151,511 Galle Rd,Colombo,LK,,+94 70 633 8633,Restaurant
Leenos cafe,5.0,2,06 Lily Ave,Colombo,LK,,+94 76 756 4621,Coffee shop
Nestle Lanka's Flagship Kiosk Cafe Goodness,5.0,2,30 Prof Stanley Wijesundera Mawatha,Colombo,LK,,+94 77 930 8347,Coffee shop
Longden Tea House,4.0,28,VVWC+PPM,Colombo,LK,,,Tea house
Everyday Bakery & Cafe,3.7,76,"VVG8+JF6, Fussel's Ln",Colombo,LK,,+94 77 908 1122,Bakery
Nishans cafe,5.0,2,6 Sri Bodhirukkarama Rd,Colombo,LK,,,Cafe
Cafe Island,4.1,15,473 Thimbirigasyaya Rd,Colombo,LK,,+94 70 798 4138,Cafe
Rancrisp Cafe,4.0,1,WV29+WFQ,Colombo,LK,,,Cafe
Nescafe kiosk(Cafe Goodness),3.9,11,30 Prof Stanley Wijesundera Mawatha,Colombo,LK,,+94 74 131 9515,Coffee shop
Cray Cafe,4.258885017421602,0,3 Iswari Rd,Colombo,LK,https://www.facebook.com/CrayFishCeylon,+94 114 151 543,Restaurant
Tea Avenue,4.3,3505,08 Jawatta Rd,Colombo,LK,http://www.tea-avenue.com/,+94 77 336 7879,Tea house
Café La Defense,4.4,543,124 Park Rd,Colombo,LK,,+94 112 550 150,Coffee shop
Sinthu Cafe,5.0,1,"VVG8+F64, Hampden Ln",Colombo,LK,,,Cafe
Café Chocolate,4.4,13,8 Stratford Ave,Colombo,LK,,+94 71 996 9798,Cafe
Chocoholics - Havelock Road,4.4,1163,506 Havelock Rd,Colombo,LK,http://www.chocoholicscafe.com/,+94 114 332 261,Cafe
The Park Cafe,3.2,6,21/8B W.A. Silva Mawatha,Nugegoda,LK,,+94 112 815 313,Cafe
Cafe Kinross,4.6,128,6 Kinross Ave,Colombo,LK,,+94 77 161 8527,Restaurant
THE CAULDRON,4.5,1186,"06, 68 Stratford Ave",Colombo,LK,http://www.thecauldron.lk/,+94 70 241 7433,Cafe
Flavours Cafe,4.1,9,61 Horton Pl,Colombo,LK,,+94 114 848 486,Ice cream shop
Ayubowan Gallface - Cafe,4.2,31,WRGV+GGH,Colombo,LK,,,Cafe
Dwivedi Cafe,4.258885017421602,0,Colombo Lotus Tower,Colombo,LK,,,Cafe
Cocoffee Cafe,5.0,1,80 Nawam Mawatha,Colombo,LK,https://www.instagram.com/cocoffee.colombo,+94 71 454 1665,Cafe
Tivoli Cafe,3.0,2,WV72+374,Colombo,LK,,,Cafe
Ritz Cafe,4.258885017421602,0,"WVJC+744, Qurashani Moulana Ln",Colombo,LK,,+94 76 698 3459,Cafe
SSC - Lawn Cafe - Coffee Coner,5.0,3,35 Maitland Pl,Colombo,LK,,,Coffee shop
Parakum cafe,4.258885017421602,0,140 EW Perera Mawatha,Colombo,LK,,,Cafe
Mac Cafe,4.0,7,327 Sri Vjiragnana Mawatha,Colombo,LK,,,Cafe
Wizard Chamber Cafe,4.0,21,"1145 A, 1145 Maradana Rd",Colombo,LK,https://www.facebook.com/WizardChamber/,+94 70 158 0270,Juice shop
Amaradasa's cafe,5.0,1,100 Keyzer St,Colombo,LK,,,Cafe
Banana Cafe,4.258885017421602,0,9 Kirthi Ln,Colombo,LK,,+94 71 888 1111,Cafe
Felicita,4.0,23,74 Flower Rd,Colombo,LK,https://luxecolombo.com/,+94 77 782 1989,Coffee shop
Brew 1867 by Dilmah – Flower Road,4.5,592,57/1 Sir Ernest de Silva Mawatha,Colombo,LK,https://www.brew1867.com/,+94 112 693 010,Fast food restaurant
Thurstan Cafeteria,5.0,2,"Thurstan College, Thurstan Rd",Colombo,LK,,,Cafe
AOBA Cafe & Bar,4.1,78,"#L1-19, The Mall at One, Galle Rd",Colombo,LK,,+94 77 746 2622,Cafe
WAFL Café One Galle Face Mall,3.8,101,"Ground floor,One Galle Face Mall",Colombo,LK,,+94 71 716 5555,Cafe
Tropical Fresh Juice Bar and Cafe,3.2,95,No. 02 Rockwood Pl,Colombo,LK,http://www.tropicalfresh.lk/,+94 112 688 566,Cafe
TORENA CAFE & RESTAURANT,4.4,78,126 York St,Colombo,LK,,+94 71 779 2999,Restaurant
Cafe Bean Street,3.5,2,WRFV+RM2,Colombo,LK,,,Coffee shop
Java Lounge - Fort - Sri Lanka's Largest Coffee House Chain,4.4,796,7 Hospital St,Colombo,LK,http://www.javalounge.lk/,+94 112 333 051,Coffee shop
Dini Cafe,4.0,1,155a Kynsey Rd,Colombo,LK,,,Coffee shop
Cafe Bagatalle,4.3,174,No 18 Bagatalle Rd,Colombo,LK,,+94 113 818 815,Cafeteria
URI Cafe Lounge,5.0,1,"19 a, 2 Alfred Pl",Colombo,LK,,,Coffee shop
BEST COFFEE SHOP,4.258885017421602,0,WV6C+F9R,Colombo,LK,,,Coffee shop
PLUTO CAFE,5.0,15,Dematagoda Pl,Colombo,LK,https://pluto-cafe-cafe.business.site/?utm_source=gmb&utm_medium=referral,+94 77 888 1435,Cafe
Joy’s Cafe,4.258885017421602,0,no.49/1 Ward Pl,Colombo,LK,https://instagram.com/cafejoyyyyy?igshid=MzRlODBiNWFlZA==,,Coffee shop
Bitcoin Cafe by Wheelys,1.0,1,"261, R. A. De Mel Mawatha, Duplication Rd",Colombo,LK,,+94 77 994 2980,Cafe
The Central Perk,4.2,1075,"9/6 A 16th Lane, Marine Drive",Colombo,LK,https://the-central-perk.business.site/?utm_source=gmb&utm_medium=referral,+94 112 574 554,Coffee shop
De Artemis Cafe Gallery & Pub,4.1,13,No.79A Srimath Anagarika Dharmapala Mawatha,Colombo,LK,,+94 72 406 0092,Restaurant
LOGOS CAFE,4.5,2,120 Srimath Anagarika Dharmapala Mawatha,Colombo,LK,,+94 77 302 6453,Restaurant
The Embazzy,4.3,2240,76/1 Flower Rd,Colombo,LK,,+94 112 576 027,Restaurant
Milk & Honey Café,4.4,290,44a Horton Pl,Colombo,LK,http://shopmilkstore.com/,+94 112 696 256,Cafe
Black Cat Cafe + Stay,4.4,812,11 Wijerama Mawatha,Colombo,LK,https://www.facebook.com/blackcatcolombo,+94 112 675 111,Cafe
London House Of Coffee,4.4,1190,2B R.G. Senanayake Mawatha,Colombo,LK,http://www.londonhouseofcoffee.com/,+94 112 693 072,Cafe
Grind,4.7,419,Access Towers 2,Colombo,LK,,+94 76 105 1064,Coffee shop
Cafe 113,5.0,3,113 Hunupitiya Lake Rd,Colombo,LK,,,Family restaurant
Brown Sugar,4.8,108,Col T G Jayawardena,Colombo,LK,http://www.brownsugarcolombo.com/,+94 76 817 8101,Cafe
Rangiri Cafe රන්ගිරි කැෆේ,3.9,17,"WVC3+XFP, Dr Colvin R de Silva Mawatha",Colombo,LK,,,Cafe
Culture Cafe Colombo,5.0,2,A14 Perahera Mawatha,Colombo,LK,,+94 112 440 365,Cafe
Sathkara Cafe,5.0,5,18 Boyd Pl,Colombo,LK,,+94 112 422 011,Restaurant
CHATZ,4.0,783,121a Sir James Pieris Mawatha,Colombo,LK,,+94 117 226 888,Cafe
Cafe Leafy,4.258885017421602,0,203 Sir James Pieris Mawatha,Colombo,LK,http://www.rococoresidence.com/,+94 70 558 8899,Cafe
Colombo Foods,4.258885017421602,0,"VVM4+Q6C, Frankfort Pl",Colombo,LK,,,Coffee shop
The Coffee Bean & Tea Leaf,4.3,3387,4 Maitland Cres,Colombo,LK,,,Cafe
PJ's Cafe,4.0,9,No. 10 R. A. De Mel Mawatha,Colombo,LK,,+94 77 720 8131,Cafe
Spice Cafe & Bakers,3.8,5,7 Park Rd,Colombo,LK,,+94 77 593 3992,Sri Lankan restaurant
Il Caffè,3.0,15,City Center,Colombo,LK,http://www.ceccatocolombo.shop/,+94 77 722 9472,Coffee shop
Arpico Crust Cafe,4.4,5,30 Hyde Park Corner,Colombo,LK,,,Cafe
Marine Cafe,4.0,2,39 Marine Drive,Colombo,LK,,+94 117 024 217,Restaurant
Oneup alldaybreakfast,4.3,346,"330, 4 Colombo - Galle Main Rd",Colombo,LK,https://m.facebook.com/pages/category/Breakfast---Brunch-Restaurant/ONE-UP-all-day-breakfast-coffee-1604946919806002/,+94 112 508 201,Cafe
Dot's,4.9,12,43 Layards Rd,Colombo,LK,,,Cafe
The Brown Bean,4.6,201,104 Srimath Anagarika Dharmapala Mawatha,Colombo,LK,http://fb.com/thebrownbean,+94 71 622 1626,Cafe
Baked Colombo,4.0,165,37A Elibank Rd,Colombo,LK,http://www.baked.lk/,+94 77 715 4454,Brunch restaurant
Barista Staple Street,4.5,350,33 Staple St,Colombo,LK,http://www.barista.lk/,+94 112 314 007,Coffee shop
Coffee Colombo,3.8,462,"29, Milagiriya Avenue(On, Marine Drive",Colombo,LK,,+94 76 969 6006,Coffee shop
Lauries Cafe,4.258885017421602,0,43B Lauries Rd,Colombo,LK,,,Cafe
Coco cafe,4.0,4,532 Galle Rd,Colombo,LK,,,Ice cream shop
PHISHBUN,5.0,26,105 Bauddhaloka Mawatha,Colombo,LK,,+94 77 776 6936,Restaurant
The Brown Bean Coffee Shop At WSO2,3.4,7,105 Bauddhaloka Mawatha,Colombo,LK,,,Coffee shop
VOC Cafe,4.2,446,"Dutch Burgher Union, Thunmulla, 114 Reid Ave",Colombo,LK,http://thedutchburgherunion.org/voc-cafe/,+94 112 584 511,Restaurant
The Gallery Café,4.4,2258,2 Alfred House Rd,Colombo,LK,,+94 112 582 162,Restaurant
Mfy Cafe,4.258885017421602,0,"WVVG+FR6, Stace Rd",Colombo,LK,,,Cafe
Mohamed Zain Cafe,3.8,10,"WVR4+32P, Sir Ratnajothi Saravanamuttu Mawatha",Colombo,LK,,(206) 602-2593,Cafe
Chocoholics - Duplication Road,4.6,509,357A R. A. De Mel Mawatha,Colombo,LK,http://www.chocoholicscafe.com/,+94 117 483 580,Cafe
Healthy Cafe,3.9,34,"91, AC2",Colombo,LK,,,Restaurant
Gayan's Cafe Teek,4.258885017421602,0,"279, 10 Grandpass Rd",Colombo,LK,,,Cafe
DSR Cafe,4.258885017421602,0,"353, AC11",Colombo,LK,,+94 77 402 8308,Cafe
Green Star,4.258885017421602,0,XV57+965,Colombo,LK,,+94 74 205 7300,Coffee shop
Divine Cafe,4.258885017421602,0,107 Dhawalasingharama Mawatha,Colombo,LK,,,Cafe
Cafe by Dora,3.0,2,"147, 161 A0",Colombo,LK,,+94 77 167 7994,Restaurant
Harpo's Colombo Fort Cafe,4.0,392,"Old Dutch Hospital Complex Echelon Square, Hospital St",Colombo,LK,http://www.colombofortcafe.com/,+94 112 434 946,Restaurant
Chocoholics One Galle Face,4.5,23,"WRGW+W28, Centre Road",Colombo,LK,,,Cafe
Coffee Stop,4.5,799,77 Galle Rd,Colombo,LK,http://www.cinnamonhotels.com/cinnamongrandcolombo/dining/coffee-stop.html,+94 112 497 382,Cafe
NLDB MILK SHOP,5.0,1,WV6M+W52,Colombo,LK,,,Cafe
Bo-sevana,4.258885017421602,0,54 Olcott Mawatha,Colombo,LK,,+94 75 452 4745,Coffee shop
Java Lounge Barnes Place,4.4,1471,76 Barnes Pl,Colombo,LK,http://www.javalounge.lk/,+94 112 695 861,Coffee shop
Let's Eat,3.0,2,193 Ward Pl,Colombo,LK,,+94 77 727 7984,Coffee shop
HIFI CAFE (maxza),4.258885017421602,0,35 Stewart St,Colombo,LK,,+94 75 759 6609,Restaurant
A-One Cafe,3.9,615,78 Justice Akbar Mawatha,Colombo,LK,https://www.facebook.com/Aonecafepure,+94 112 307 374,Restaurant
Chaiwala Colombo - One Galle Face Mall,4.8,47,"L20, 1A, One Galle Face Mall, Centre Road",Colombo,LK,https://chaiwalacolombo.com/,,Cafe
Goodies,4.5,170,117 Colombo - Batticaloa Hwy,Colombo,LK,http://www.cinnamonhotels.com/cinnamonlakesidecolombo/dining/goodies.html,+94 112 491 804,Coffee shop
t-lounge & bar by Dilmah – One Galle Face,4.2,163,"L1-20, One Galle Face, No.1A ගාලු පාර",Colombo,LK,,+94 112 432 028,Cafe
Araliya cafe,4.4,7,"46/42, 02",Colombo,LK,,,Restaurant
Cafe Colombo,4.258885017421602,0,66 Galle Rd,Colombo,LK,,,Bakery
Bavan cafe,4.258885017421602,0,11 Vauxhall Ln,Colombo,LK,,+94 77 663 4443,Vegetarian restaurant
Cafe Seventy Seven,3.4,39,WVC3+4HC,Colombo,LK,,+94 115 765 765,Restaurant
Sri Lanka Telecom Cafeteria,4.5,4,WVC3+JCP,Colombo,LK,,,Restaurant
Cannys Bakers and Restaurant,4.258885017421602,0,185 Union Pl,Colombo,LK,,+94 112 693 722,Cafe
Green Cabin | Chatham Street,4.1,358,NO 88 Chatham St,Colombo,LK,http://www.greencabin.lk/,+94 77 378 6147,Cafe
The Kafé,4.2,16,123 Kumaran Ratnam Rd,Colombo,LK,https://www.hotelnippon.lk/the-kafe/,+94 112 332 603,Cafe
Upali's Canteen,2.0,1,"WRQW+783, Bandaranayake Quay",Colombo,LK,,+94 77 713 0019,Coffee shop
t-lounge by Dilmah – Chatham Street ️,4.4,980,Chatham St,Colombo,LK,http://dilmaht-lounge.com/,+94 112 447 168,Cafe
Hotel De Excellent,3.6,14,WVH7+5RG,Colombo,LK,,,Cafe
Cafe On The Range,5.0,9,181/5 Hikkaduwe Sri Sumangala Himi Mawatha,Colombo,LK,https://www.instagram.com/cafe_on_the_range,+94 77 774 4877,Cafe
CAFE 142,4.258885017421602,0,142 Sri Vajiragnana Mawatha,Colombo,LK,,+94 72 817 9234,Fast food restaurant
Squeezey cafe and juice bar,5.0,3,487 Dematagoda Rd,Colombo,LK,,,Cafe
Rizvi Snacks,3.6,12,"WVG8+V42, Ven Baddegama Wimalawansa Mawatha",Colombo,LK,,+94 77 656 4440,Cafe
Kusum Cafe,5.0,1,WVGC+MW4,Colombo,LK,,,Pastry shop
City Cakes & Desserts,4.258885017421602,0,463 2nd Division Maradana,Colombo,LK,,+94 77 213 3811,Cafe
Tayo bear,4.8,107,"No 71, 2 R.G. Senanayake Mawatha",Colombo,LK,http://www.tayobear.com/,+94 77 199 2907,Dog cafe
The kava coffee,5.0,18,Hedges Ct,Colombo,LK,,+94 76 384 6871,Coffee shop
