title,totalScore,reviewsCount,street,city,countryCode,website,phone,categoryName
The Coffee Manor,4.6,280,83 R.G. Senanayake Mawatha,Colombo,LK,,+94 112 082 190,Coffee shop
Phoenix Hub Gaming Cafe,4.7,200,44 Dr Danister De Silva Mawatha,Colombo,LK,https://www.facebook.com/pnxhub/,+94 114 244 446,Video game store
Shivan cafe,5.0,2,WVPJ+678,Colombo,LK,,+94 112 686 197,Cafe
Hot Bun Cafe,4.1,13,WVVC+V45,Colombo,LK,,+94 71 252 6650,Cafe
MTown Gaming & Shisha Lounge,4.4,10,67 1/1 Maligawatta Pl,Colombo,LK,https://www.facebook.com/mtownlounge,+94 72 656 5777,Lounge
The Cafe Lounge,5.0,1,WVPC+873,Colombo,LK,,+94 75 706 8505,Game store
Panchikawatta,4.258885017421602,0,WVM8+78M,Colombo,LK,,,Coffee shop
Cravings Café & Restaurant,5.0,4,"47, 12 Abdul Hameed St",Colombo,LK,,+94 75 559 4801,Restaurant
Cafe Anderson,5.0,1,"Anderson Flats D Block, Park Rd",Colombo,LK,,+94 76 876 1211,Takeout Restaurant
Taste Tots,5.0,7,"WVJC+FMG, Keera Kotuwa Road",Colombo,LK,https://www.facebook.com/tastetot/,+94 77 291 6634,Cafe
Najla Soup Cafe,3.7,7,"WVQ7+65P, Abdul Hameed St",Colombo,LK,,+94 71 554 4757,Soup shop
Cafe nine,3.5,2,"VVVM+R3H, Kirimandala Mawatha",Colombo,LK,,+94 112 449 919,Bakery
Best Lankan Food & Beverages (Pvt) Ltd,5.0,1,"XVFH+JF5, Mattakkuliya Farm Rd",Colombo,LK,,+94 77 772 2030,Cafe
Zion Fountain Cafe,4.4,58,4 Vijaya Kumarathunga Mawatha,Colombo,LK,,+94 77 751 0850,Cafe
Nescafe Machine Rent (Mr.kordon's),4.258885017421602,0,"23, 51 Vystwyke Rd",Colombo,LK,,+94 77 798 0561,Coffee shop
Cafe Korea,3.7,15,Kirimandala Mawatha,Colombo,LK,,+94 77 563 0117,Korean restaurant
Ameen’s Love,4.258885017421602,0,XVCG+XJ5,Colombo,LK,,,Cafe
Any item sale,2.0,1,"Randiya Uyana, Henamulla Ln",Colombo,LK,,+94 75 640 5776,Cafe
Bar wade kade,5.0,1,"XVCG+Q7X, St Mary's Rd",Colombo,LK,,,Cafe
Sunshine Bakary,4.1,28,39 St Mary's Ln,Colombo,LK,,+94 77 600 8883,Cafe
New Indusiri Cafe,4.4,9,Baseline Rd,Colombo,LK,,+94 112 667 792,Vegetarian restaurant
Caffe Vita,2.7,13,VVV4+P27,Colombo,LK,,+94 77 743 3870,Cafe
The Family Cafe,4.258885017421602,0,"77, 20 Gnanawimala Rd",Colombo,LK,,+94 77 551 0414,Restaurant
Refresh,3.0,2,328 Jumma Masjid Rd,Colombo,LK,,,Coffee shop
The Vibe,3.6,7,"VVR9+7V8 Hotel Janaki, Fife Rd",Colombo,LK,http://hoteljanakicolombo.com/the-vibe/,,Cafe
Holybelly cafe,4.4,94,318 Torrington Ave,Colombo,LK,https://m.facebook.com/Holybelly-656716584719603/,+94 77 712 2234,Cafe
The Blue Swan Lounge and Workspaces,5.0,3,12 Greenlands Ave,Colombo,LK,,+94 77 311 6579,Cafe
Cafe Hideout,5.0,4,24 Fife Rd,Colombo,LK,,,Coffee store
Blue Spoon,4.7,58,90A Jawatta Rd,Colombo,LK,http://instagram.com/bluespoonlk,+94 77 316 4000,Cafe
Cafe Noir Blanc,4.3,1291,"No. 216, Rev, Thimbirigasyaya Rd",Colombo,LK,http://cafenoir.lk/,+94 112 555 188,Restaurant
Bars Cafe,4.0,27,158 Thimbirigasyaya Rd,Colombo,LK,,+94 114 369 393,Restaurant
Tasty Caterers,4.2,1019,88 Fife Rd,Colombo,LK,http://tastycaterers.lk/,+94 117 644 744,Cafe
COOL KADE,5.0,3,423 Jumma Masjid Rd,Colombo,LK,,+94 72 051 5243,Cafe
Krishna Vegetarian Cafe,3.9,19,5 St. Joseph's St,Colombo,LK,,,Restaurant
Cafe zone,5.0,4,"A3/F24, GEORGE R.D SILVA MW",Colombo,LK,,,Sri Lankan restaurant
Manra Cafe,5.0,2,736 Dr Danister De Silva Mawatha,Urugodawatta,LK,https://instagram.com/manra_cafe?igshid=OGQ5ZDc2ODk2ZA==,+94 71 460 1191,Restaurant
Amabal Cafe,4.1,7,"WVV8+G8W, Jethawana Rd",Colombo,LK,,,Restaurant
Ape Kopi Grandpass,4.6,5,70 Stace Rd,Colombo,LK,,+94 77 914 6786,Coffee shop
R.N.R. Cool Corner,4.258885017421602,0,"WVR8+C27, Sri Sumanatissa Mawatha",Colombo,LK,,,Cafe
A.M.N.Rahumani,4.258885017421602,0,68 Gemunu Patu Mawatha,Colombo,LK,,,Coffee shop
Bob's Cafe,4.258885017421602,0,446 Old Moor St,Colombo,LK,,,Restaurant
Delish Cafe & Restaurant,3.8,147,,Colombo,LK,,+94 112 441 334,Restaurant
Kotahena Cream House,4.258885017421602,0,71 Bonjeen Rd,Colombo,LK,,+94 112 472 907,Cafe
Black Shedow,4.258885017421602,0,15 Jampettah St,Colombo,LK,,,Cafe
Barista at Hatch Works,4.258885017421602,0,14 Sir Baron Jayathilake Mawatha,Colombo,LK,,,Coffee shop
The Street Cafe n Kitchen Pvt Ltd,5.0,1,"Lake House Building, regent Building 20 1/3 Sir chittampalam gardiner A Mawatha, 2 opposit to",Colombo,LK,,+94 112 300 109,Restaurant
The Barge Cafe and Restaurant,4.4,24,Block D,Colombo,LK,,+94 77 003 9090,Cafe
PSD Welfare shop and House of Juice,4.8,5,54 Chatham St,Colombo,LK,,+94 72 760 3377,Cafe
Brew 1867 by Dilmah – World Trade Center,4.6,39,Level 03 West Block World Trade Center,Colombo,LK,https://www.brew1867.com/,+94 117 021 406,Fast food restaurant
Street cafe and kitchen,5.0,1,Regent Flats,Colombo,LK,,+94 112 300 109,Asian restaurant
Cafe64 by Galadari Hotel,3.0,2,64 Lotus Rd,Colombo,LK,http://www.galadarihotel.lk/dining/cafe-64-pastry-shop?fbclid=IwAR0RE5z8t5l6R9Jg8Id-HfpV0kVqg8ANXLsIEyuG9rBLvDyvD8jkZNeLbjE,+94 112 544 544,Cafe
The Nosh,4.2,23,"World Trade Center East Tower, WTC East Tower, 12/1 Bank of Ceylon Mawatha",Colombo,LK,,+94 76 170 0700,Coffee shop
Fort Cafe,4.0,1,39 Sir Razik Fareed Mawatha,Colombo,LK,,+94 76 199 3103,Restaurant
Barista World Trade Center,4.3,397,"Level 3 World Trade Center, Bank of Ceylon Mawatha",Colombo,LK,http://www.barista.lk/,+94 112 332 163,Cafe
Nil's Kitchen,4.258885017421602,0,"18/28 1st Lane, Evergreen Park Rd",Colombo,LK,,+94 77 771 1828,Cafe
Side Walk Cafe,4.4,8,No 33 Canal Row,Colombo,LK,,,Restaurant
New Murugan Cafe,4.258885017421602,0,30 Sri Kathiresan St,Colombo,LK,,+94 77 470 0669,Indian restaurant
RASANANDA BAKERS (දර පොරනු cafe),4.5,2,130 2nd Ln,Sri Jayawardenepura Kotte,LK,,+94 77 645 4354,Bakery
Menytype,4.258885017421602,0,"G-1-3-B, Mihindu Mawatha Shopping Complex",Colombo,LK,,+94 112 441 684,Cafe
S K M Cafe,4.5,4,103 New Moor St,Colombo,LK,,,Restaurant
New Saraswati Cafe,4.1,840,230 Sea St,Colombo,LK,,+94 112 435 789,Vegetarian restaurant
Mobitel Cafeteria,3.3,11,Lesley Ranagala Mawatha,Colombo,LK,,+94 71 285 7555,Cafe
Fabela Restaurant & Cafe,4.258885017421602,0,231D Wijayakumarathunga Road,Colombo,LK,,+94 76 877 4258,Restaurant
Tens Inc,5.0,2,33/5 Somadevi Pl,Colombo,LK,,+94 77 612 3247,Cafe
The Counter Cafe,4.3,24,30/4 Sri Siddhartha Passage,Colombo,LK,,+94 77 790 1607,Restaurant
KAILASA The Street Food Café,3.8,962,494 R. A. De Mel Mawatha,Colombo,LK,,,Restaurant
Kumbuk Cafe,4.258885017421602,0,No. 60/7 Horton Pl,Colombo,LK,,,Restaurant
Kaapi,4.3,521,"29, Schofield Place, Marine Drive",Colombo,LK,,+94 77 153 3443,Cafe
Saswathi Cafe | சாஸ்வதி கபே,4.0,1,171 A2,Colombo,LK,,+94 76 544 9951,Vegetarian restaurant
Amos chai factory,4.258885017421602,0,"VVF8+GCC, 55th Ln",Colombo,LK,,,Coffee shop
Colombo Chaiwala,4.3,336,12 Lily Ave,Colombo,LK,,,Tea house
Galle Caterers,3.5,17,No. 43 Marine Dr,Colombo,LK,,+94 114 367 799,Cafe
Matras Cafe,4.258885017421602,0,118 A Galle Rd,Colombo,LK,,,Restaurant
Top Collection,4.258885017421602,0,"Ambanpitiya, 7851/1 ,colombo rd, Galigamuwa town",Kegalle,LK,,+94 70 313 3471,Art cafe
Everyday Bakery & Cafe,3.1,69,"1, 465 1/1 Galle Rd",Colombo,LK,,+94 112 363 996,Bakery
WAFL Café Wellawatte,4.1,375,47 42nd Ln,Colombo,LK,,+94 117 104 104,Restaurant
The Cozy Lounge,4.258885017421602,0,16 Flower Rd,Colombo,LK,,,Cafe
Bakers Lab LK,4.6,69,03 Muthuwella Mawatha,Colombo,LK,http://www.bakerslablk.com/,+94 75 757 4797,Bakery
The Coffee Craft,4.4,172,55 St Anthony's Mawatha,Colombo,LK,https://coffeecraft.tinkers.biz/,+94 76 222 8888,Cafe
Lucuma Vegan Cafe,4.6,31,Cambridge Terrace,Colombo,LK,https://instagram.com/lucuma_vegan_cafe?utm_medium=copy_link,+94 77 133 3668,Coffee shop
Rolling Pin,4.2,14,"Liberty Plaza, Basement",Colpetty,LK,https://m.facebook.com/Rollingpinlk,+94 71 720 2303,Cafe
Klassy Cafe - Havelock City Mall,3.4,13,"Havelock City, Havelock Rd",Colombo,LK,,+94 114 252 502,Pastry shop
Amal gram store,4.0,5,"VVM9+4PH, Edward Ave",Colombo,LK,,,Coffee shop
Tea Tent,4.258885017421602,0,VVJ9+X3G,Colombo,LK,,,Coffee shop
Twins Cafe,4.7,38,14 Independence Ave,Colombo,LK,,+94 76 792 2030,Restaurant
Nugegoda,4.258885017421602,0,WVG6+RFQ,Colombo,LK,,+94 75 878 5854,Cafe
The cafe,5.0,3,273/1 Vauxhall St,Colombo,LK,,+94 112 341 342,Restaurant
Restaurant Area,1.0,1,WRGH+P32,Port City Colombo,LK,,,Coffee shop
Neleez Station,3.0,1,"Colombo Lotus Tower, AC6",Colombo,LK,,+94 77 728 0953,Coffee shop
Cannys Bakers,3.9,41,WVFH+83P,Colombo,LK,,,Cafe
Cafe Pixel Printing Solutions (Pvt) Limited,4.1,140,180/3 Arnold Ratnayake Mawatha,Colombo,LK,,+94 112 680 061,Print shop
NEDOLAKANDA grocery & cafe,4.258885017421602,0,"kolonna, road",nedolakanda,LK,,+94 77 455 2083,Grocery store
Barakath Sweets and Cafe,5.0,3,24 Immamul Aroos Mawatha,Colombo,LK,,+94 77 812 9250,Restaurant
King Metro Cafe (pure vegetarian),4.3,4,WVG8+22P,Colombo,LK,,,Restaurant
Nithiya,4.258885017421602,0,765 Bodhirajarama Mawatha,Colombo,LK,,,Coffee shop
Dark Roast Cafe,4.2,84,"20A Laurie’s Place, R. A. De Mel Mawatha",Colombo,LK,https://www.instagram.com/darkroastcafelk/,+94 77 666 7567,Coffee shop
Orion Tower Cafeteria,4.4,8,WVRH+5H3,Colombo,LK,,,Cafe
NEW BON CAFE,5.0,1,67c Colombo Main Rd,Kaduwela,LK,,,Cafe
Cafe Chocolattie,4.4,333,38 Frankfort Pl,Colombo,LK,,+94 112 592 222,Dessert shop
The Mithai Cafe,4.6,49,18 Lauries Rd,Colombo,LK,https://the-mithai-cafe.business.site/?utm_source=gmb&utm_medium=referral,+94 75 581 1191,Cafe
Cloud Cafe,4.1,122,"Hotel & Spa, Colombo Court, 32 Alfred House Ave",Colombo,LK,https://www.colombocourthotel.com/cloudcafe,+94 114 645 333,Restaurant
Java Lounge - Bambalapitiya,4.4,1621,No.27 & 29 Lauries Rd,Colombo,LK,http://www.javalounge.lk/,+94 112 552 501,Coffee shop
Tasha Cafe,4.3,29,"Ground Floor, 196 Park Rd",Colombo,LK,,+94 75 363 1000,Cafe
6th Lane Cafe,3.6,28,3 Alfred Pl,Colombo,LK,,,Cafe
My friend cafe,4.8,48,18 Bagatalle Rd,Colombo,LK,,+94 113 818 815,Coffee shop
Barefoot Garden Cafe,4.6,714,704 Galle Rd,Colombo,LK,https://barefootceylon.com/pages/cafe,+94 112 589 305,Cafe
Café on the 5th,4.2,3083,108 5th Ln,Colombo,LK,,+94 114 935 684,Restaurant
Cafe Zone,5.0,1,20 De Costa Garden,Colombo,LK,,,Restaurant
Al Fresco Garden Cafe,4.2,45,"No 208, Rev Muruttettuwe, Ananda Nahimi Mawatha",Colombo,LK,https://instagram.com/al.fresco_sl?igshid=MzRlODBiNWFlZA==,+94 71 456 5762,Cafe
E-Cafe,4.1,985,120/A Sri Sambuddhathva Jayanthi Mawatha,Colombo,LK,,+94 112 507 525,Coffee shop
Myrus Cafe,5.0,3,"517 Cube Lane, 5",Colombo,LK,,+94 74 104 3570,Cafe
Wheelys Café 80,4.3,4,25 Independence Ave,Colombo,LK,,+94 76 324 4515,Takeout Restaurant
Cafe Kumbuk,4.5,1210,"3/1 Thambiah Avenue, Independence Ave",Colombo,LK,https://www.cafekumbuk.com/,+94 112 685 310,Cafe
Sugarcube Cafe,4.5,92,"No.15 R.A., 05 R. A. De Mel Mawatha",Colombo,LK,,+94 76 432 7997,Cafe
LOLLY'S,4.1,147,323 Galle Rd,Colombo,LK,,+94 77 740 3403,Coffee shop
Kaffi Colombo,4.4,117,"G9, Crescat Boulevard, Crescat Boulevard no.89",Colombo,LK,,+94 117 743 062,Cafe
The Brown Bean Coffee,4.2,103,52 Sir Marcus Fernando Mawatha,Colombo,LK,http://www.fb.com/thebrownbeancoffee,+94 71 622 1626,Coffee shop
Internet Cafe,3.4,8,70 D. S. Senanayake Mawatha,Colombo,LK,,,Cafe
K Cafe,4.1,14,"WV92+J39, Nawam Mawatha",Colombo,LK,,+94 114 386 438,Cafe
T.Co By Adra,4.6,14,51a Srimath Anagarika Dharmapala Mawatha,Colombo,LK,https://www.tcobyadra.lk/,+94 77 999 9079,Cafe
Zoo Cafe,4.258885017421602,0,77 Galle Rd,Colombo,LK,,+94 77 992 8340,Coffee shop
Blackout Bar & Restaurant,3.8,468,36 Ward Pl,Colombo,LK,https://www.yamu.lk/place/blackout-restaurant-cafe,+94 76 847 1555,Bar
Tea Breeze Cafe at Beira Lake,3.9,94,"B, 18 Perahera Mawatha",Colombo,LK,http://www.teabreeze.com/Beiralake.aspx,+94 112 434 074,Cafe
Café Konditorei,3.6,5,647 P De S Kularatne Mawatha,Colombo,LK,,+94 77 342 7182,Coffee shop
Maheli Cafe,5.0,2,112 Vauxhall St,Colombo,LK,,+94 77 721 0103,Cafe
Cafe Celo09,4.258885017421602,0,WVC6+VRM,Colombo,LK,,,Coffee shop
Hut Cafe,4.258885017421602,0,2 Frances Rd,Colombo,LK,,,Cafe
Cafe 717,3.7,3,WVC3+G8F,Colombo,LK,,,Coffee shop
LA LUNA Pizzeria & Cafe,4.7,383,124 Lauries Rd,Colombo,LK,https://www.instagram.com/la_luna.pizzeria.coffee,+94 77 887 4430,Restaurant
Brew Island,4.6,10,377a Galle Rd,Colombo,LK,,,Coffee shop
Askar Cafe,5.0,1,60 St Joseph's St,Colombo,LK,,,Coffee shop
Caroma Elite Speciality Coffee,4.9,110,"Floating Market, 340/88",Colombo,LK,,+94 76 886 6466,Coffee shop
Bun Break,4.8,6,"No.19 asian mkt, Olcott Mawatha",Colombo,LK,,+94 76 807 9242,Cafe
The Barnesbury,4.3,2550,91 Barnes Pl,Colombo,LK,https://thebarnesbury.com/,+94 112 682 144,Restaurant
Urban Cafe,3.0,1,75 Olcott Mawatha,Colombo,LK,,,Restaurant
Golden Cafe,4.2,340,"01100, 98 Bankshall St",Colombo,LK,,+94 112 324 712,Vegetarian restaurant
Torta,4.5,12,59 Ward Pl,Colombo,LK,,+94 77 707 8787,Cafe
Café Japan,4.6,267,25 Borella Cross Rd,Colombo,LK,https://www.facebook.com/Cafe-Japan-in-Colombo-Sri-Lanka-2131389247108370/,+94 77 726 3565,Authentic Japanese restaurant
Life’s Good Kitchen,4.9,550,"No 12 Sulaiman Terrace, Jawatta road Colombo 5",Colombo,LK,https://www.instagram.com/lifesgoodkitchen/,+94 77 674 1266,Restaurant
Sea Island Street Food,5.0,1,"WVF2+H86, Vellons Passage",Colombo,LK,,,Cafe
The Coffee Bean and Tea Leaf - Landmark,4.2,673,"WV32+FWP, Galle Rd",Colombo,LK,,,Coffee shop
Katee Rotee,5.0,4,29 St Lucia's St,Colombo,LK,,,Coffee shop
cafe monica sri lanka,5.0,3,"Old Dutch Hospital Complex, 09 Hospital St",Colombo,LK,,+94 70 166 6422,Pizza restaurant
Rancrisp Cashew,2.9,15,"WRGV+WVV, ගාල්ල ප්‍රධාන මාර්ගය",Colombo,LK,http://www.rancrisp.lk/,,Cafe
Kaffeine by Republk,4.1,8,57 Hospital St,Colombo,LK,,+94 112 444 429,Cafe
Silva Snack Bar,4.8,4,WVJ8+C3P,Colombo,LK,,+94 112 451 341,Cafe
41 cafe,1.8,16,Mahawela Pl,Colombo,LK,,+94 77 644 0510,Restaurant
Badam Doodh,4.5,2,46 36th Ln,Colombo,LK,,+94 77 465 0420,Coffee shop
Spizzerts,4.6,22,261 R. A. De Mel Mawatha,Colombo,LK,,+94 77 015 1732,Cafe
Refresh Cafe and Juice bar,4.0,1,514 Havelock Rd,Colombo,LK,,,Restaurant
Malar Cafe,4.0,260,"No: 45, 07 Dr CWW Kannangara Mawatha",Colombo,LK,https://malar-cafe.business.site/?utm_source=gmb&utm_medium=referral,+94 115 106 703,North Eastern Indian restaurant
QuQu Cafe,4.4,50,Ground floor One,Mall,LK,https://www.ququcafe.lk/,,Cafe
T.N Cafe,4.0,4,WVC6+CWR,Colombo,LK,,,Cafe
E-Cafe Colombo 03,4.0,126,316 Galle Rd,Colombo,LK,https://ecafecoffee.business.site/,+94 113 428 350,Coffee shop
Park Cafe,2.8,32,59D Norris Canal Rd,Colombo,LK,http://www.parkcafe.lk/,+94 77 345 1885,Asian restaurant
Cafe Green,4.7,3,459 T. B. Jayah Mawatha,Colombo,LK,,+94 75 822 2822,Restaurant
Cakes & Bakes Cafe,4.3,1004,69 Galle Rd,Colombo,LK,,+94 76 441 2792,Cake shop
Maniumpathy Café,4.9,15,129 Kynsey Rd,Colombo,LK,https://maniumpathy.com/dining/,+94 77 089 8900,Fusion restaurant
Bun Break,4.8,20,174 New Moor St,Colombo,LK,,+94 76 807 9242,Cafe
ටිරොන්ගේ වඩේ තට්ටුව,5.0,1,"VVHF+GQ9, High Level Rd",Colombo,LK,,+94 77 055 4549,Cafe
The Barca Cafe,4.0,52,318 Torrington Ave,Colombo,LK,,+94 114 157 480,Cafe
Remarko Bakery,3.3,4,"WVXF+H79, St. Joseph's St",Colombo,LK,,+94 112 964 247,Cafe
The Coffee Bean & Tea Leaf,4.3,699,1st Floor Liberty Plaza,Colombo,LK,,+94 77 388 7666,Coffee shop
Cafe Mocha by Barista,4.3,1649,28 Stratford Ave,Colombo,LK,http://www.barista.lk/,+94 112 055 491,Cafe
Playtrix Sports Bar and Cafe,4.3,1182,137 Sir James Pieris Mawatha,Colombo,LK,http://www.playtrix.lk/,+94 76 547 7577,Sports bar
Caramel Pumpkin,4.3,2253,"WV89+FJG, 38 Ward Pl",Colombo,LK,,+94 112 677 966,Cafe
Choco Luv,3.8,419,16 Flower Rd,Colombo,LK,http://www.facebook.com/yourchocoluv/,+94 112 301 140,Cafe
Pages & Coffee,4.5,233,8 Stratford Ave,Colombo,LK,https://web.facebook.com/pagesandcoffee.LK,+94 77 430 8502,Coffee shop
Bibo's Cafe,4.2,14,289 High Level Rd,Colombo,LK,,+94 77 941 3413,Cafe
Cafe 7 To 7,4.6,5,"WV27+VF7, Prof Stanley Wijesundera Mawatha",Colombo,LK,,,Restaurant
Rakna Lanka Cafe,3.0,5,"WV93+RCF, Nawam Mawatha",Colombo,LK,,,Bakery
The King Cafe,4.5,8,XV9C+RRM,Colombo,LK,,+94 77 841 0410,Restaurant
Cafe Longdon,4.7,52,6 Malalasekara Mawatha,Colombo,LK,,,Cafe
Busy Bean Cafe,3.9,55,Race Course Ave,Colombo,LK,http://thebusybean.lk/,+94 76 982 9726,Cafe
