"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"zcd8","Selera Thai Tom Yam Warisan (Cyberjaya)","Thai","4","(1000+)","Cyberjaya",""
"d9fz","Dhiwan's Kitchen","Malaysian","3.9","(4)","Cyberjaya",""
"y3sv","Restoran Fu Jee Ulu Yam Loh Mee (Cyberjaya)","Noodles","4.4","(1000+)","Cyberjaya",""
"ql37","Fry The Rice (Glomac)","Briyani","4.1","(100+)","Cyberjaya",""
"n8as","D' Banana Leaf","Indian","4.3","(500+)","Cyberjaya",""
"j04m","Unkle Canai (Glomac)","Indian","4.7","(35)","Cyberjaya",""
"e8tb","Rice Home Restaurant","Chicken","4.6","(500+)","Cyberjaya",""
"i9te","Pandabites (Cyberjaya)","Cakes","4.9","(6)","Cyberjaya",""
"n4oi","Aurora Corner Cafe","Chicken","4.4","(2000+)","Cyberjaya",""
"p3mp","Burger Koboi","Burgers","4.4","(500+)","Cyberjaya",""
"i7v0","Desa Tom Yam (Cyberjaya)","Malaysian","4.1","(100+)","Cyberjaya",""
"n9uy","Face to Face Noodle House (Cyberjaya)","Noodles","4.6","(2000+)","Cyberjaya",""
"n0kv","Warung Abe Nasi Kukus & Nasi Kerabu","Nasi Kukus","4.5","(3000+)","Cyberjaya",""
"xma3","Frutopia Juice Bar","Juice","4.7","(100+)","Cyberjaya",""
"slbs","Al Rayyan Briyani (Cyberjaya)","Briyani","3.4","(100+)","Cyberjaya",""
"xv94","Bowlehlah (Cyberjaya)","Chicken","4.1","(100+)","Cyberjaya",""
"et75","Next To Mee Noodle House","Noodles","4.7","(500+)","Cyberjaya",""
"gizk","Chickadee Rice Bowl Fried Chicken & Burgers","Asian","4.9","(18)","Cyberjaya",""
"xoo5","Chermai Hotpot","Asian","2.6","(8)","Cyberjaya",""
"hmyj","Kuali Panas (Cyberjaya)","Fried Rice","4.1","(100+)","Cyberjaya",""
"n7fx","Restoran KB Corner (Nasi Kak Wok Cyberjaya)","Rice Dishes","4.6","(5000+)","Cyberjaya",""
"qz8k","Kenyang Box (Cyberjaya)","Fried Chicken","4.4","(100+)","Cyberjaya",""
"dxct","Damn Tasty - Cyberjaya","Chicken","4.1","(500+)","Cyberjaya",""
"t1w8","Biryani Bowl! (Cyberjaya)","Curry","4.5","(22)","Cyberjaya",""
"ytha","Ayam Geprek King","Malaysian","4.5","(100+)","Cyberjaya",""
"a7fs","Potato Hub Crispy French Fries Chicken Nugget Popcorn Chicken","Fast Food","4.5","(28)","Cyberjaya",""
"ubtm","Ayam Gepuk Express (Cyberjaya)","Malaysian","4.2","(58)","Cyberjaya",""
"vz69","ABU ABDU SHAWARMA","Shawarma","4.7","(22)","Cyberjaya",""
"n5zv","Restoran Mad Ayam Kampung","Chicken","4.5","(1000+)","Cyberjaya",""
"quy9","Nasi Lemak Opah (Cyberjaya)","Malaysian","4.1","(100+)","Cyberjaya",""
"vbkc","Ayam Penyet Nusantara (Cyberjaya)","Ayam Penyet","4.5","(100+)","Cyberjaya",""
"a2xb","HAILAM KOPITIAM EKSPRES @ CYBERJAYA","Chicken","4.4","(100+)","Cyberjaya",""
"p5hg","Mi Familia Cafe","Chicken","4.7","(2000+)","Cyberjaya",""
"lplm","Warung Kunyit Abe (Cyberjaya)","Fried Rice","3.7","(100+)","Cyberjaya",""
"qd0j","Chikin Crispy - Cyberjaya","Chicken","4.1","(500+)","Cyberjaya",""
"j4xv","Mama Homecook Mixed Rice","Chicken","4.8","(100+)","Cyberjaya",""
"r8t9","Biryani Bae (Glomac)","Briyani","3.9","(100+)","Cyberjaya",""
"w8bx","Warisan Nasi Kukus (Prima Avenue)","Nasi Kukus","4.6","(100+)","Cyberjaya",""
"d5up","NASI KANDAR MELAYU MAD","Nasi Kandar","4.6","(3000+)","Cyberjaya",""
"sxd3","RESTORAN NASI KANDAR MELAYU MAD","Malaysian","4.4","(7)","Cyberjaya",""
"mokc","Sepinggan","Malaysian","4.4","(500+)","Cyberjaya",""
"oxdz","CHETZ TURKISH KABAB @ CHETZ CHILLAX","Shawarma","4.7","(97)","Cyberjaya",""
"k11e","myBurgerLab (Cyberjaya)","Burgers","4.7","(500+)","Cyberjaya",""
"npvs","King's Fried Chicken (Ayam Gunting)","Asian","3.9","(54)","Cyberjaya",""
"khr7","Pak Buyung Sate(Chetz Chillax )","Malaysian","2.2","(29)","Cyberjaya",""
"s3fj","MD PUTU BAMBU WORLD CYBERJAYA","Malaysian","4.7","(500+)","Cyberjaya",""
"e23c","Shamna","Western","4.7","(99)","Cyberjaya",""
"o0lr","Nona Manis Kitchen","Malaysian","4.3","(3000+)","Cyberjaya",""
"ym91","Restoran Seri Dagang","Malaysian","4.6","(100+)","Cyberjaya",""
"luy4","Kafe Strawberry Fields (Cyberjaya)","Asian","4.8","(13)","Cyberjaya",""
"n2ab","D CELOP HOT","Malaysian","4.5","(5000+)","Cyberjaya",""
"b3o5","Chetz Mango Float Phuket","Malaysian","5","(4)","Cyberjaya",""
"h4u3","Biriyani Bukhara","Indian","2.5","(19)","Cyberjaya",""
"npm3","MR CHURROS CYBERJAYA","Asian","4.8","(100+)","Cyberjaya",""
"kpl6","Goffee","Cakes","4.1","(100+)","Cyberjaya",""
"oyrq","TOMYAM CYBER","Fried Rice","3.5","(100+)","Cyberjaya",""
"q6fk","Tealive (Neocyber Cyberjaya)","Beverages","4.8","(2000+)","Cyberjaya",""
"ryil","Mak Roti Canai","Roti Canai","4.4","(100+)","Cyberjaya",""
"x4b9","Starbucks (Prima 5 DT)","Coffee","4.7","(500+)","Cyberjaya",""
"db5a","CHETZ CHILLAX SEAFOOD CKT","Malaysian","4.6","(65)","Cyberjaya",""
"r9kb","Tiga Budak Gemok (Cyberjaya)","Chicken","4.5","(5000+)","Cyberjaya",""
"xuqg","Restoran Nasi Lan Kedah (Cyberjaya)","Soups","4.6","(100+)","Cyberjaya",""
"wpdg","Mamasab Cafe & Grill Cyberjaya","Malaysian","5","(1)","Cyberjaya",""
"x3cb","CHETZ CHEF TAKO CYBERJAYA","Takoyaki","4.3","(100+)","Cyberjaya",""
"ktpd","Kitchen Village Cyberjaya","Fried Rice","4.9","(100+)","Cyberjaya",""
"o2ng","Cendol Station","Desserts","4.7","(1000+)","Cyberjaya",""
"cc4s","Beriani Hut Enterprise","Briyani","4.1","(100+)","Cyberjaya",""
"im3r","CHETZ AROI MAK TOMYAM","Malaysian","4","(35)","Cyberjaya",""
"x0ju","WARONG WAKJOE","Soups","4.6","(100+)","Cyberjaya",""
"isop","Al Naz Tomyam","Malaysian","4.3","(100+)","Cyberjaya",""
"n6rr","Sankranti Indian Cuisine","Indian","4.1","(100+)","Cyberjaya",""
"rr9g","Chetz Chillax Western & Sizzling","Malaysian","4.6","(9)","Cyberjaya",""
"qadc","CHEAP & GRILL WESTERN","Asian","2.8","(7)","Cyberjaya",""
"w18f","FAMOUS SHAWARMA CYBERJAYA","Middle Eastern","3.6","(8)","Cyberjaya",""
"nsg5","Mak esah tomyam cyberjaya","Fried Rice","4.3","(51)","Cyberjaya",""
"tb2z","Chef Tandoor Express","Chicken","4.3","(13)","Cyberjaya",""
"ojwq","Nasi Lemak Daun Pisang","Nasi Lemak","4.1","(79)","Cyberjaya",""
"za9k","Lettuce & Rise (Cyberjaya)","Seafood","4.5","(100+)","Cyberjaya",""
"g6jg","SUP DAGING CINCANG","Satay","4.6","(1000+)","Cyberjaya",""
"fck9","Nasi ayam Bangi (cyberjaya)","Rice Dishes","4.3","(100+)","Cyberjaya",""
"g5nk","ITIK SALAI MAK JIJAH @ CYBERJAYA","Chicken","4.5","(500+)","Cyberjaya",""
"japm","MOA KITCHEN","Middle Eastern","4.6","(100+)","Cyberjaya",""
"e88n","Bubur Nasi Sup Mek Kelantan","Porridge","4.4","(100+)","Cyberjaya",""
"ndt9","Mansour Shawarma & Restaurant (Cybersquare)","Middle Eastern","4.8","(63)","Cyberjaya",""
"s9wp","Padi House (Prima Cyberjaya)","Pasta","4.7","(500+)","Cyberjaya",""
"pjfk","Wedding Biryani","Briyani","4.2","(100+)","Cyberjaya",""
"e0zr","Bumbung Bakar","Seafood","4.9","(100+)","Cyberjaya",""
"ixcu","MS NASI GULAI KAWAH","Malaysian","4.4","(38)","Cyberjaya",""
"z0gz","Cobek cobek","Chicken","4.2","(500+)","Cyberjaya",""
"z4zo","Kepak Ayam Madu Sabah by Triple A","Snacks","4.6","(93)","Cyberjaya",""
"knnv","Nasi lemak makcik kiah (cyberjaya)","Nasi Lemak","2.4","(33)","Cyberjaya",""
"sk3g","CRISPY CORNER","Soups","4.8","(100+)","Cyberjaya",""
"rhaz","Ayam Penyet Bandung","Soups","4.2","(58)","Cyberjaya",""
"chbo","Nasi ayam madu (cyberjaya)","Chicken","1.7","(43)","Cyberjaya",""
"e0bg","SHEDAZZ AYAM KUNYIT @ Cyberjaya","Fried Rice","4.7","(1000+)","Cyberjaya",""
"tmrb","Med Mex (Cyberjaya)","Wraps","4.2","(56)","Cyberjaya",""
"z4kj","PAK NGAH CYBER KOPITIAM","Malaysian","4.6","(4000+)","Cyberjaya",""
"i8o1","Ayam geprek makasar (cyberjaya)","Soups","1.9","(38)","Cyberjaya",""
"zekz","Salad Atelier (Cyberjaya)","Asian","4.8","(500+)","Cyberjaya",""
"khc6","Nasi Ayam Andak","Malaysian","5","(33)","Cyberjaya",""
"z9oo","NASI LEMAK NENDA (TSI Sport Arena)","Nasi Lemak","4","(100+)","Cyberjaya",""
"af77","Pop Meals (Prima Avenue)","Malaysian","4.4","(500+)","Cyberjaya",""
"w46x","Pasta Rasa @ Prima Avenue","Asian","4.4","(2)","Cyberjaya",""
"hd1o","PAKNGAH WESTERN","Asian","4.7","(100+)","Cyberjaya",""
"tykc","Noodle Paradise","Fried Rice","3.2","(37)","Cyberjaya",""
"c9hs","Lontong Joho @TSI Sport Arena","Malaysian","4.2","(17)","Cyberjaya",""
"ak7m","Nasi Lemak Sambal Berapi","Nasi Lemak","4.7","(35)","Cyberjaya",""
"cbw9","Hana & Zara kitchen Puchong","Seafood","3","(10)","Cyberjaya",""
"mlu8","Nasi lemak pak abu (cyberjaya)","Nasi Lemak","3.2","(100+)","Cyberjaya",""
"g44d","Nasi Lemak Longtong @TSI Sport Arena","Malaysian","2.5","(14)","Cyberjaya",""
"m1kh","penyetpenyet.com (Cyberjaya)","Ayam Penyet","4.6","(4000+)","Cyberjaya",""
"f4h3","Nasi Lemak Warisan Bonda @TSI Sport Arena","Malaysian","4","(1)","Cyberjaya",""
"gm33","Ayam Geprek Aceh","Noodles","4","(12)","Cyberjaya",""
"svus","My Iman Foods (Cybersquare)","Malaysian","4.5","(100+)","Cyberjaya",""
"reqk","Nasi Kerabu Pantai Timur (Cyberjaya)","Nasi Kerabu","3.9","(100+)","Cyberjaya",""
"f3jt","Taco Bell (Cyberjaya)","Chicken","4.6","(4000+)","Cyberjaya",""
"bu47","Tomyam Express (Cyberjaya)","Thai","4.2","(100+)","Cyberjaya",""
"m237","Nasi Lemak Sambal Sotong Cyberjaya","Nasi Lemak","3.6","(76)","Cyberjaya",""
"y1at","Sabrina Lauk Kampung","Fried Rice","4.3","(1000+)","Cyberjaya",""
"dw00","Nasi Lemak Warisan Nenda","Nasi Lemak","3.6","(31)","Cyberjaya",""
"gvu5","Indian Express","Indian","4.5","(500+)","Cyberjaya",""
"y0cc","KOR.B KOREAN RESTAURANT","Korean","4.6","(500+)","Cyberjaya",""
"q0bx","India Gate","Chicken","4.5","(1000+)","Cyberjaya",""
"q2od","Aroii Thai Bowl Noodle & Street Food (Shaftsbury Square)","Thai","4.7","(1000+)","Cyberjaya",""
"n2iy","Kiraku Japanese Restaurant (Cyberjaya)","Japanese","4.4","(100+)","Cyberjaya",""
"ui8c","Gloria Jean's Coffees (LHDN Cyberjaya)","American","2.9","(6)","Cyberjaya",""
"n3pc","Halia 7","Fried Rice","4.5","(100+)","Cyberjaya",""
"cyak","Thai Tomyam (TSI Sport Arena)","Fried Rice","4.3","(100+)","Cyberjaya",""
"s5ia","LOK YOON Restobar (Prima 11, Cyberjaya)","Asian","4.7","(100+)","Cyberjaya",""
"o0tv","Chubbies Cafe","Pasta","4.3","(100+)","Cyberjaya",""
"nmgk","Steam n Grill Burger","Malaysian","4.8","(11)","Cyberjaya",""
"cqd5","D PLACE CAFE","Asian","4.4","(100+)","Cyberjaya",""
"pfpa","Baker's Cottage (Cyberjaya)","Chicken Rice","4.7","(1000+)","Cyberjaya",""
"n4uv","Plat du Jour","Pasta","4.8","(2000+)","Cyberjaya",""
"lr34","Abang Adek (Shaftsbury Square)","Nasi Kukus","4.7","(1000+)","Cyberjaya",""
"o7pn","Kung Fu Restaurant","Chinese","4.5","(1000+)","Cyberjaya",""
"vcat","Bask Bear Coffee (Shaftbury Cyberjaya)","Sandwiches","4.7","(2000+)","Cyberjaya",""
"hagx","KUALI TERBANG (TSI Sport Arena)","Fried Rice","4.4","(100+)","Cyberjaya",""
"m8ro","Subway (Shaftbury Square, Cyberjaya)","Sandwiches","4.6","(5000+)","Cyberjaya",""
"wu5b","MI KOLOK SARAWAK SEDAP","Asian","4","(5)","Cyberjaya",""
"h4s5","Costa Coffee (Prima 11)","Beverages","4.7","(32)","Cyberjaya",""
"va2p","4Fingers Crispy Chicken (Shaftsbury Square, Cyberjaya)","Fast Food","4.5","(1000+)","Cyberjaya",""
"ywdl","Sup Letup Daging Tetel","Soups","4.4","(100+)","Cyberjaya",""
"zoyt","Syukur burger Cyberjaya","Burgers","1.8","(3)","Cyberjaya",""
"lmsj","Rejuice N Rejoice","Healthy","4.1","(64)","Cyberjaya",""
"n0of","Tae Yang Island","Korean","4.4","(1000+)","Cyberjaya",""
"kzgw","Saffron Cafe (Shaftsbury Square)","Asian","5","(1)","Cyberjaya",""
"d4na","Ministry of Waffle","Desserts","1.8","(12)","Cyberjaya",""
"wuk4","Pasta Panas (Petronas Station Cyberjaya)","Pasta","4.5","(1000+)","Cyberjaya",""
"h2zq","RICHIAMO COFFEE (MCMC)","Malaysian","4.9","(44)","Cyberjaya",""
"edz8","Rasa Hadramout Restaurant ( Shaftsbury Square )","Mediterranean","4.8","(9)","Cyberjaya",""
"p64r","AYAM PENYET JAKARTA  (TSI Sport Arena)","Soups","4.5","(99)","Cyberjaya",""
"n8ni","KETAM MANIS Seafood Restaurant","Seafood","4.4","(500+)","Cyberjaya",""
"goww","Bakar Bakar Warisan","Nasi Lemak","4.2","(90)","Cyberjaya",""
"xv49","JMR NO.1 Rojak Cendol (Cyberjaya Petronas Apec)","Asian","4.5","(500+)","Cyberjaya",""
"eooy","Dapur Take Away","Malaysian","4.6","(100+)","Cyberjaya",""
"bwv6","Tomyam Marka Pattani","Asian","4.6","(500+)","Cyberjaya",""
"gzwo","Nasi Lemak Mak Kau Hijau","Nasi Lemak","4.4","(100+)","Cyberjaya",""
"r4nu","RESTORAN AKASIA CYBERJAYA","Fried Rice","4.4","(500+)","Cyberjaya",""
"bsr1","AYAM GEPREK BALI  (TSI Sport Arena)","Asian","4.7","(95)","Cyberjaya",""
"kus6","Meet & Greet Cafe","International","4.8","(500+)","Cyberjaya",""
"kdzn","Uncle Don's (Cyberjaya)","Pasta","4.4","(100+)","Cyberjaya",""
"xqfh","MAS KITCHEN	(CYBERJAYA)","Nasi Lemak","4.6","(100+)","Cyberjaya",""
"qqh9","Sam Kitchen","Ayam Penyet","4.7","(500+)","Cyberjaya",""
"zc7j","Foodle Food Hall - Foodle (Cyberjaya)","Asian","4.3","(500+)","Cyberjaya",""
"rets","The Hungry Wok - Foodle (Cyberjaya)","Fried Chicken","4.6","(500+)","Cyberjaya",""
"o5d9","Masakan Panas D'Noris","Fried Rice","4.6","(100+)","Cyberjaya",""
"eoli","Carnival Food Kiosk","Pancakes & Waffles","4.8","(100+)","Cyberjaya",""
"v345","Marroush - Foodle (Cyberjaya)","Asian","4.2","(100+)","Cyberjaya",""
"qlae","G3 Ayam Penyet @ Pusat Jaja","Ayam Penyet","4.6","(500+)","Cyberjaya",""
"r181","Ayam Kunyit Maharaja - Foodle (Cyberjaya)","Chicken","4.5","(500+)","Cyberjaya",""
"os5j","APAM BALIK HARI-HARI PUTRA PERDANA","Pancakes & Waffles","4.8","(100+)","Cyberjaya",""
"y9y1","Warung Sugeh","Malaysian","4.1","(14)","Cyberjaya",""
"y5wa","Hasta La Pasta - Foodle (Cyberjaya)","Italian","4.4","(100+)","Cyberjaya",""
"sy4s","Goreng Pisang Cheese Leleh Cyberjaya","Malaysian","4.8","(26)","Cyberjaya",""
"nkem","Mee Celup Ketagih","Malaysian","4.1","(8)","Cyberjaya",""
"tvsr","Restoran Dapur Kampung (Putra Perdana)","Malaysian","4.4","(2000+)","Cyberjaya",""
"shly","U3 burger","Burgers","4.8","(100+)","Cyberjaya",""
"nbcx","Eddy Hujan Panas","Ayam Penyet","4.6","(100+)","Cyberjaya",""
"ckwa","The Good Bowls & Pasta - Foodle (Cyberjaya)","Pasta","4.6","(100)","Cyberjaya",""
"vknc","CHICKEN ROYALE (Cyberjaya)","Asian","4.7","(1000+)","Cyberjaya",""
"tqze","AL KHA SHA ENTERPRISE","Roti Canai","4.7","(88)","Cyberjaya",""
"k517","Nasi Ayam Berapi - Foodle (Cyberjaya)","Asian","4.4","(100+)","Cyberjaya",""
"i0e0","RESTORAN MEK NA SEAFOOD","Fried Rice","4.4","(2000+)","Cyberjaya",""
"g298","Gerai No 11 Pusat Penjaja Putra Perdana","Malaysian","4.6","(83)","Cyberjaya",""
"fyl0","Tekak Melayu @ Laman View Cyber 9","Malaysian","3.6","(10)","Cyberjaya",""
"blz6","Tumez Kitchen (Cyberjaya)","Asian","4.2","(29)","Cyberjaya",""
"z2y2","my shawarma","Shawarma","4.7","(2)","Cyberjaya",""
"unjl","Cubee Cafe","Asian","4.8","(100+)","Cyberjaya",""
"pkny","Dapur Mann Kuey Teow","Fried Rice","4.6","(1000+)","Cyberjaya",""
"omox","Coolblog (Putra Perdana)","Beverages","4.8","(100+)","Cyberjaya",""
"rwr0","Seri Malaya - Foodle (Cyberjaya)","Malaysian","4.5","(100+)","Cyberjaya",""
"xpbx","GORENG PISANG CHEESE LELEH","Pisang Goreng","4.6","(100+)","Cyberjaya",""
"zf79","Laman Break1st","Malaysian","5","(3)","Cyberjaya",""
"y658","Abdullah Lee - Foodle (Cyberjaya)","Malaysian","4.9","(30)","Cyberjaya",""
"hwri","Wingstreet (Shaftsbury Cyberjaya)","Fast Food","4.6","(55)","Cyberjaya",""
"e2xa","Giggles & geeks Restaurant","Malaysian","4.7","(500+)","Cyberjaya",""
"mgc4","Restoran Ramai TomYam @Cyberjaya","Malaysian","4.5","(100+)","Cyberjaya",""
"plwh","SmashHouse Burgers - Foodle (Cyberjaya)","Asian","4.4","(66)","Cyberjaya",""
"u9ir","Pak Lee Satay Putra Perdana","Satay","4.6","(100+)","Cyberjaya",""
"knou","Nasi Kukus Malaya Ayam Cincang (Taman Putra Perdana)","Nasi Kukus","4.2","(91)","Cyberjaya",""
"yma3","I Am Geprek Bensu @ Foodle (Cyberjaya)","0 min","4.4","(100+)","Cyberjaya",""
"a39y","Kopi Tok Wan - Foodle (Cyberjaya)","Asian","4.1","(93)","Cyberjaya",""
"wfxq","KRB (Korean Rice Bowls) - Foodle (Cyberjaya)","Korean","3.8","(89)","Cyberjaya",""
"aa5b","ZAMIRAS CAFE","Malaysian","4.7","(46)","Cyberjaya",""
"w492","KL Cafe Putra Perdana","Asian","4.8","(500+)","Cyberjaya",""
"um7s","Kafe Warisan Ibonda","Asian","4.8","(93)","Cyberjaya",""
"luow","Cafe Penghulu","Asian","4.3","(14)","Cyberjaya",""
"zu2v","Sangkaya (D'Empangan)","Beverages","4","(20)","Cyberjaya",""
"g2jg","Buzz Out Coffee","Western","4.5","(50)","Cyberjaya",""
"t0vw","Sizzling Hotplate - Rasa Alamanda","Chicken","4.5","(100+)","Cyberjaya",""
"wz1m","Abe Cendol","Beverages","5","(7)","Cyberjaya",""
"u6yt","FR FOOD STREET KITCHEN","Pancakes & Waffles","4.8","(40)","Cyberjaya",""
"tj4y","Tasti Dough","Asian","4.8","(100+)","Cyberjaya",""
"qw86","Little Wok (Rasa Alamanda)","Asian","4.6","(100+)","Cyberjaya",""
"y9ty","Warisan Chicken Porridge","Porridge","4.8","(60)","Cyberjaya",""
"fcnk","D'Sha Cafe","Nasi Lemak","4.8","(38)","Cyberjaya",""
"whuf","AA SOUP DELIGHT","Soups","4.8","(19)","Cyberjaya",""
"k9xu","Yong Tau Foo - Rasa Alamanda","Seafood","4.9","(20)","Cyberjaya",""
"ujb9","RNAC ENTERPRISE","Burgers","4.5","(100+)","Cyberjaya",""
"ss9h","Naansense Tandoori","Asian","2.9","(18)","Cyberjaya",""
"kjd1","NAZ M FOOD GARAGE","Burgers","4.9","(23)","Cyberjaya",""
"wp42","Restoran Iman Maju","Roti Canai","4.3","(500+)","Cyberjaya",""
"cfiu","COCONUT SHAKE (336 Cyberjaya)","Beverages","4.6","(4)","Cyberjaya",""
"wawb","ZNK NASI KANDAR PUTRA PERDANA","Nasi Kandar","4.5","(500+)","Cyberjaya",""
"y2xs","Bento - Rasa Alamanda","Japanese","4.5","(100+)","Cyberjaya",""
"rgwr","Hantoo Laksa","Laksa","4.5","(46)","Cyberjaya",""
"zgra","Dapur Beriani","Briyani","3.8","(84)","Cyberjaya",""
"s0cy","Restoran Dr Deen Maju","Malaysian","4.3","(500+)","Cyberjaya",""
"x9ds","AGI Ayam Gemprek Ibuk (Cyberjaya)","Malaysian","4.1","(65)","Cyberjaya",""
"wt65","Munchy Meals","Malaysian","5","(3)","Cyberjaya",""
"y8fb","Pokmat Nasi Ayam","Fried Rice","3.1","(46)","Cyberjaya",""
"dc25","A&N Cafe","Malaysian","4.8","(87)","Cyberjaya",""
"t194","Restoran irfan 76","Malaysian","4.5","(2000+)","Cyberjaya",""
"c6ud","Chicken Rice - Rasa Alamanda","Chicken","4.5","(100+)","Cyberjaya",""
"rs6y","GREEN BURGER","Asian","3.9","(4)","Cyberjaya",""
"l8z1","ELAY CAFE","Tom Yum","4.7","(100+)","Cyberjaya",""
"pw60","Burger Anak Mamu (Jalan Putra Perdana)","Burgers","3.7","(4)","Cyberjaya",""
"ei6l","Smashed Burger by Sugar Absolute","Burgers","5","(34)","Cyberjaya",""
"jx6l","Roti John & Burger Tabur @ A&N Cafe","Malaysian","4.8","(37)","Cyberjaya",""
"v9wc","Noodles - Rasa Alamanda","Noodles","4.8","(100+)","Cyberjaya",""
"u9go","Western - Rasa Alamanda","Chicken Chop","4.7","(82)","Cyberjaya",""
"u4gw","Dapur Penyet - Rasa Alamanda","Chicken","4.6","(100+)","Cyberjaya",""
"g4ow","Wafflestop - Rasa Alamanda","Pancakes & Waffles","4.7","(31)","Cyberjaya",""
"k6sr","Thai Cuisine - Rasa Alamanda","Fried Rice","4.6","(100+)","Cyberjaya",""
"zm5f","Warung Che Mat Fu","Malaysian","4.1","(95)","Cyberjaya",""
"e2kq","Deli Sushi (Wangsa Walk)","Japanese","4.2","(100+)","Cyberjaya",""
